objid,type,ra,dec,u,g,r,i,z,redshift,type
1.23767E+18,GALAXY,258.1453615,64.07070396,17.96586,15.43528,14.45425,13.74995,13.69962,Null,el
1.23767E+18,GALAXY,258.0964727,64.03252476,19.74413,17.56668,16.5453,16.11852,15.78846,0.07981008,el
1.23767E+18,GALAXY,258.2083664,64.05294822,19.22208,17.00105,16.03318,15.59466,15.34225,0.07395603,el
1.23767E+18,GALAXY,258.0660041,64.07257668,19.73644,17.5924,16.65129,16.20864,15.90533,Null,el
1.23767E+18,GALAXY,258.1709869,64.07269654,19.24469,17.0818,16.12346,15.65043,15.33794,0.0834782,el
1.23767E+18,GALAXY,258.2133566,64.07316958,19.24982,17.20155,16.26258,15.75252,15.49401,0.07390364,sp
1.23767E+18,GALAXY,258.1199461,64.06074829,17.35083,14.94665,14.0375,13.56921,13.33719,0.07343803,el
1.23767E+18,GALAXY,258.1069547,64.0654284,19.61824,17.79926,16.8633,16.40733,16.10147,Null,el
1.23767E+18,GALAXY,258.157927,64.08875922,20.51149,18.47374,17.58412,17.13854,16.87547,Null,el
1.23767E+18,GALAXY,258.1336347,64.03855603,19.56118,17.64848,16.64314,16.21251,15.97259,0.08280216,el
1.23767E+18,GALAXY,258.1816362,64.05353955,19.60752,17.72213,16.78737,16.35058,16.07873,0.08562605,sp
1.23767E+18,GALAXY,258.1097797,64.08211976,21.07705,18.82711,17.85458,17.41082,17.12147,0.07945839,un
1.23767E+18,GALAXY,258.2584579,64.0522971,17.98511,15.83024,14.83095,14.39797,14.0908,Null,el
1.23767E+18,GALAXY,258.0291986,64.05549086,19.4303,17.4287,16.4969,16.06833,15.74951,0.08279845,el
1.23767E+18,GALAXY,258.3713054,64.0468693,17.81879,15.6649,14.64762,14.22721,13.90421,0.07843956,el
1.23767E+18,GALAXY,258.4633055,64.00351856,18.23261,16.988,16.32518,15.93572,15.71291,0.08765244,sp
